ref;type;schéma interne;Boitier;Correspondance externe/interne;Equivalent séries 74
CD4081;4 Portes ET;CD4081;IC-14;1/A1;74C81
CD4071;4 Portes OU;CD4071;IC-14;1/A1;74C71
CD4070;4 Portes OU Exclusif;CD4070;IC-14;1/A1;74C70
CD40106;6 Inverseurs;CD40106;IC-14;1/a;74xx14
CD4011;4 PortesNON-ET;CD4011;IC-14;1/A1;74C11
CD4001;4 Portes NON-OU;CD4001;IC-14;1/A1;74C01
74xx08;4 Portes ET;7408;IC-14;1/A1;
74xx32;4 Portes OU;7432;IC-14;1/A1;
74xx86;4 Portes OU Exclusif;7486;IC-14;1/A1;
74xx00;4 PortesNON-ET;7400;IC-14;1/A1;
74xx02;4 Portes NON-OU;7402;IC-14;1/Q1;
74xx14;6 Inverseurs;7414;IC-14;1/a;
