# Kablix — analyseur logique, mesure exportée
# 2026-09-26T14:32:09.416Z
# voie 0 = 3 (Sig)
# voie 2 = 3 (DMX-)
# voie 3 = 3 (DMX+)
# plage exportée : de 6.434 à 6.698026 ms (M1 → M2)
# un front = deux lignes au même instant, niveau d'avant puis niveau d'après ; case vide = niveau encore inconnu
temps_ms,Sig,DMX-,DMX+
6.434,1,1,1
6.44825,1,1,1
6.44825,0,0,0
6.48425,0,0,0
6.48425,1,1,1
6.499813,1,1,1
6.499813,0,0,0
6.503813,0,0,0
6.503813,1,1,1
6.55125,1,1,1
6.55125,0,0,0
6.58725,0,0,0
6.58725,1,1,1
6.602688,1,1,1
6.602688,0,0,0
6.638688,0,0,0
6.638688,1,1,1
6.654125,1,1,1
6.654125,0,0,0
6.658125,0,0,0
6.658125,1,1,1
6.662125,1,1,1
6.662125,0,0,0
6.666125,0,0,0
6.666125,1,1,1
6.682125,1,1,1
6.682125,0,0,0
6.686125,0,0,0
6.686125,1,1,1
6.698026,1,1,1
