Repère;Composant;Type;Valeur;Commentaire
Alim1;Alimentation de laboratoire;alim;;Tension : 5 V · Courant max fourni : 1 A
D1;Diode;diode;;Tension de seuil : 0,6 V
D2;Diode;diode;;Tension de seuil : 0,6 V
L1;LED;led;;Couleur : Vert
R1;Résistance;resistor;470 Ω;
R2;Résistance;resistor;220 Ω;
Rl1;Relais OMRON G5V;relais;;Tension de commande (V) : 5
Rl2;Relais OMRON G5V;relais;;Tension de commande (V) : 5
Rl3;Relais OMRON G5V;relais;;Tension de commande (V) : 5
T1;Transistor PN2222A (NPN);pn2222a;;
U1;Raspberry Pi Pico;pico;;
